date,character,asset_type,issue_key,issue,cause,mitigation,reusable_rule,policy_ref,check_ref,promotion_level,related_path
2026-05-25,project,runtime,runtime-python-store-shim,python command resolves to Windows Store shim,The system python.exe path reports version 0.0.0.0 and does not run normally,Use bundled runtime from Codex workspace dependencies,Prefer the bundled Python executable when running tools in this workspace,docs/browser_automation.md,tools/run_harness_task.py,policy,tools/build_project_html.py
2026-05-25,project,transparent_assets,transparent-assets-chroma-residue,complex hair and lace may leave chroma residue,Long dark hair lace and fine accessories have many antialiased edges,Generate with generous padding and flat #ff00ff background then validate alpha corners,Do not accept transparent assets before visual edge inspection,workflows/asset_generation_workflow.md,tools/validate_assets.py,policy,tools/remove_chroma_batch.py
2026-05-25,project,web,web-final-text-in-images,generated images should not contain final Chinese text,Image models can distort dense text and labels,Let HTML render all labels captions borders and long text,Keep image prompts textless unless a small visual mark is explicitly needed,docs/document_governance.md,tools/build_project_html.py,policy,assets/styles/luo_sisters.css
2026-05-25,project,parallel_work,parallel-cross-character-paths,assets can be saved into the wrong sister folder when agents work in parallel,The two characters share similar asset types and filenames,Validate every item path starts with assets/characters/<character>/,Run validate_assets.py before handoff,harness/ownership_map.json,tools/validate_assets.py,verify,tools/validate_assets.py
2026-05-26,project,harness_runs,harness-run-dir-fragmentation,preflight and verify currently create separate timestamped harness run folders,Harness CLI assigns a fresh timestamp per subcommand instead of sharing a run id,Copy preflight evidence into the verify run before bundling for now and plan a shared run-id flow in the CLI,Give harness subcommands an explicit shared run identifier before scaling CI artifacts,docs/harness_ci.md,tools/run_harness_task.py,policy,tools/harness_cli.py
2026-05-25,project,responsive_css,responsive-css-figure-overflow,asset grids showed small horizontal overflow,Default figure margins added extra width inside CSS grid,Reset figure margin to zero in shared CSS,Always reset native figure margins before using figure as grid tile,harness/check_profiles/page.json,tools/browser_smoke_check.py,verify,assets/styles/luo_sisters.css
2026-05-25,project,browser_qa,browser-qa-lazy-loading,lazy images looked broken in automated mobile checks,Offscreen loading=lazy images had naturalWidth 0 before scroll reached them,Remove lazy loading from generated local showcase pages for this phase,Prefer eager loading while pages are used as visual QA boards,harness/check_profiles/page.json,tools/browser_smoke_check.py,verify,tools/build_project_html.py
2026-05-25,project,crop_reference,crop-reference-full-sheet-fallback,some first-pass crops are skewed or missing context,Automatic crop coordinates were made from dense full-sheet layouts and are working references,Use the full source_sheet image as secondary reference when generation fails; only update crop_manifest after repeated failure,Crops are handles and the full sheet is the visual authority,workflows/asset_generation_workflow.md,tools/crop_from_sheet.py,policy,workflows/asset_generation_workflow.md
2026-05-25,project,link_audit,link-audit-planned-transparent-outputs,planned transparent outputs were flagged as broken links,HTML and registry pages intentionally link future PNG targets before generation,Teach audit and reader tools to classify missing generated transparent outputs as planned,Planned asset paths are valid structure and should be audited for boundary and naming rather than existence,harness/check_profiles/docs.json,tools/audit_project_links.py,verify,tools/audit_project_links.py
2026-05-25,project,html_reader,html-reader-missing-section-ids,anchor-scoped HTML reading can hide structure when pages lack explicit section ids or the wrong anchor is requested,Rendered documentation pages may be visually organized without stable ids for targeted reads,Add stable section ids on generated pages and make the reader report anchor status plus grouped link maps,Generated HTML meant for agent navigation should expose stable section ids for low-token reading,docs/document_governance.md,skills/project-doc-governance/scripts/read_html_doc.py,verify,skills/project-doc-governance/scripts/read_html_doc.py
